id,duration,Rating,action,adventure,biography,comedy,crime,drama,family,fantasy,history,horror,mystery,romance,scifi,thriller,war,western,musical,animation,sport,music,noir,yearPublished,monthPublished,budget,gross,disney,warner,sony,universal,fox,paramount,summit,dimension,mgm,dreamworks,marvel,miramax,columbia,united,utv,pixomondo,dharma,productionCorpsOthers,contentRating,language,location,tfidf1,tfidf2,tfidf3,tfidf4
104,132,70,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,11,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,7,25,2,0
105,141,81,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,12,17,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,10,43,0,0
106,123,69,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,9,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,39,2,0
107,127,70,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,11,0,0
108,124,76,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,4,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14,29,1,0
109,109,73,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,1,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,23,35,2,0
110,157,78,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,11,18,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,50,1,0
111,92,71,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,3,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,8,41,1,0
112,110,81,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,10,15,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,8,23,2,0
113,160,75,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,10,17,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,32,2,0
114,140,70,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,7,18,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,18,46,1,1
115,122,69,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,1,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,50,3,0
116,123,75,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,1,16,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,10,56,5,0
117,141,78,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,10,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,42,2,0
118,123,73,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,10,17,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,12,69,3,0
119,127,78,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,2,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,33,2,1
120,102,73,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,4,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,17,52,2,0
121,121,76,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,10,14,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,10,8,64,2,0
122,99,74,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,10,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,9,14,0,0
123,125,80,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,12,14,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,51,4,0
124,106,70,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,12,36,3,0
126,151,80,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,2,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,4,47,3,2
127,137,66,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,11,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,55,2,0
128,108,70,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,12,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,23,1,0
129,90,56,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,6,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,10,0,0
130,118,76,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,3,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,35,2,0
