gross,duration,Rating,action,adventure,biography,comedy,crime,drama,family,fantasy,history,horror,mystery,romance,scifi,thriller,war,western,musical,animation,sport,music,noir,yearPublished,monthPublished,budget,disney,warner,sony,universal,fox,paramount,summit,dimension,mgm,dreamworks,marvel,miramax,columbia,united,utv,pixomondo,dharma,productionCorpsOthers,contentRating,language,location,tfidf1,tfidf2,tfidf3,tfidf4
14,108,70,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,23,1,0
15,90,56,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,10,0,0
16,118,76,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,35,2,0
17,122,67,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,25,2,0
14,106,69,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,40,1,0
17,191,67,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,6,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,10,0,0
14,112,70,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,38,1,0
16,126,65,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,9,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,12,61,3,0
13,107,70,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2,13,0,0
17,130,78,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,23,1,0
17,112,76,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,6,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,30,2,0
10,84,57,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,7,0,0
16,127,60,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,29,1,0
17,114,74,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,10,65,6,1
16,113,71,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,1,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,4,21,1,0
12,94,72,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,6,5,13,0,0
12,90,64,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,8,46,2,0
14,98,66,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,37,2,0
17,117,51,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,11,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,9,0,0
13,129,68,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,16,48,4,0
